AnalyteName,Background,BufferId,CartridgeId,CartridgeComments,CalculatedConcentration,CalculatedConcentrationPercentCV,CalculatedConcentrationStdDev,ChannelNumber,CurveCoefficientA,CurveCoefficientB,CurveCoefficientC,CurveCoefficientD,CurveCoefficientG,DiluentId,DilutionFactor,GnrFilter,GnrFilterCVPercentThreshold,IsSampleStdDev,Gnr1CalculatedConcentration,Gnr1RFU,Gnr1Background,Gnr1Signal,Gnr2CalculatedConcentration,Gnr2RFU,Gnr2Background,Gnr2Signal,Gnr3CalculatedConcentration,Gnr3RFU,Gnr3Background,Gnr3Signal,GnrCount,InletComment,InletNumber,AnalyzerName,KitId,KitGuid,KnownConcentration,LotNumber,PercentRecovery,RFU,RFUPercentCV,RFUStdDev,RunDate,RunUserName,SampleName,SampleType,Signal,SpecimenTypes,AnalyteNumber,AnalyzerDescription,CalculatedConcentrationStatus,DilutedConcentration,DilutedConcentrationStatus,NonlimitedCalculatedConcentration
CRP,1.978,689,31195,,,2.432,919252.57,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,39092383.57,1536.353,1.978,1538.332,37121302.82,1491.28,1.978,1493.259,37164110.83,1492.283,1.978,1494.261,3,,35,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,1506.639,1.395,21.015,8/7/17 14:35,Ella,35,Unknown,1508.617,PlasmaSerum,1,,OOR>,,OOR>,37792599.07
CRP,2.935,689,31195,,,1.589,114570.642,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,7374137.46,409.214,2.935,412.149,7135825.275,396.324,2.935,399.259,7126628.646,395.825,2.935,398.76,3,,36,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,400.454,1.548,6.198,8/7/17 14:35,Ella,36,Unknown,403.389,PlasmaSerum,1,,OOR>,,OOR>,7212197.127
CRP,1.237,689,31195,,5989037.8,1.462,87589.531,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,6091458.532,338.987,1.237,340.224,5877491.837,327.078,1.237,328.315,5998163.03,333.801,1.237,335.037,3,,37,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,333.289,1.463,4.875,8/7/17 14:35,Ella,37,Unknown,334.525,PlasmaSerum,1,,IR,6654.486,IR,5989037.8
CRP,1.225,689,31195,,5200918.328,0.783,40708.64,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,5249296.898,291.823,1.225,293.048,5203755.427,289.251,1.225,290.476,5149702.658,286.196,1.225,287.421,3,,38,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,289.09,0.796,2.3,8/7/17 14:35,Ella,38,Unknown,290.315,PlasmaSerum,1,,IR,5778.798,IR,5200918.328
CRP,1.066,689,31195,,3432059.003,0.714,24499.474,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,3420375.069,187.231,1.066,188.297,3466148.988,189.872,1.066,190.938,3409652.951,186.612,1.066,187.678,3,,39,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,187.905,0.752,1.414,8/7/17 14:35,Ella,39,Unknown,188.971,PlasmaSerum,1,,IR,3813.399,IR,3432059.003
CRP,0.68,689,31195,,2852041.148,1.831,52225.283,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,2806296.298,151.777,0.68,152.457,2824696.276,152.839,0.68,153.519,2925130.869,158.637,0.68,159.317,3,,40,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,154.418,1.952,3.015,8/7/17 14:35,Ella,40,Unknown,155.098,PlasmaSerum,1,,IR,3168.935,IR,2852041.148
CRP,0.573,689,31195,,1205570.42,5.504,66357.02,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,1274870.352,64.481,0.573,65.054,1225720.278,61.756,0.573,62.329,1116120.63,55.711,0.573,56.284,3,,41,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,60.649,6.043,3.665,8/7/17 14:35,Ella,41,Unknown,61.222,PlasmaSerum,1,,IR,1339.523,IR,1205570.42
CRP,0.465,689,31195,,350883.92,5.208,18274.049,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,376666.573,16.766,0.465,17.231,336458.835,14.8,0.465,15.265,339526.353,14.949,0.465,15.414,3,,42,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,15.505,5.764,0.894,8/7/17 14:35,Ella,42,Unknown,15.97,PlasmaSerum,1,,IR,389.871,IR,350883.92
CRP,0.517,689,31195,,141897.315,2.501,3548.539,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,142830.192,5.789,0.517,6.306,137160.572,5.541,0.517,6.058,145701.181,5.915,0.517,6.432,3,,43,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,5.748,2.705,0.155,8/7/17 14:35,Ella,43,Unknown,6.265,PlasmaSerum,1,,IR,157.664,IR,141897.315
CRP,1.282,689,31195,,,0.646,54295.531,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,8390534.107,463.344,1.282,464.626,8473659.661,467.709,1.282,468.991,8342187.887,460.801,1.282,462.083,3,,44,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,463.951,0.615,2.853,8/7/17 14:35,Ella,44,Unknown,465.234,PlasmaSerum,1,,OOR>,,OOR>,8402127.218
