CartridgeId,RunDate,LotNumber,KitId,ChannelNumber,Sample,AnalyteName,InletNumber,DilutionFactor,CalculatedConcentration,CalculatedConcentrationInRange,CalculatedConcentrationPercentCV,CalculatedConcentrationStdDev,RFU,Gnr1RFU,Gnr2RFU,Gnr3RFU,RFUPercentCV,RFUStdDev,KitGuid,InstrumentName,Gnr1CalculatedConcentration,Gnr2CalculatedConcentration,Gnr3CalculatedConcentration,KnownConcentration,PercentRecovery,Signal,CurveCoefficientA,CurveCoefficientB,CurveCoefficientC,CurveCoefficientD,CurveCoefficientG,SampleType,Background,BufferId,CartridgeComments,DiluentId,Gnr1Background,Gnr1Signal,Gnr2Background,Gnr2Signal,Gnr3Background,Gnr3Signal,GnrCount,GnrFilter,GnrFilterCVPercentThreshold,InletComment,IsSampleStdDev,RunUserName,SpecimenTypes
34146,7/12/2017 17:56,2411,35290,4,85075,IL-8,7,2,48.795,IR,2.836,1.384,23.674,23.93,22.746,24.347,2.865,0.678,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,49.317,46.9,50.166,,,24.17,0.091,1.022,2954.145,2878.453,1.112,Unknown,0.496,689,,726,0.496,24.427,0.496,23.242,0.496,24.843,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,1,90725,CXCL10,8,2,210.767,IR,0.676,1.425,97.108,96.419,,97.796,0.709,0.688,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,209.342,,212.192,,,97.579,0.101,1.127,913.749,1686.549,0.704,Unknown,0.472,689,,726,0.472,96.891,,,0.472,98.267,2,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,2,90725,IFNg,8,2,6.282,IR,0.251,0.016,1.386,1.384,1.383,1.39,0.206,0.003,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,6.274,6.268,6.304,,,1.846,0.266,1.016,4577.497,2565.177,0.714,Unknown,0.46,689,,726,0.46,1.844,0.46,1.843,0.46,1.85,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,3,90725,IL-6,8,2,19.777,IR,7.476,1.479,2.645,2.802,2.378,2.754,7.169,0.19,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,21.006,17.698,20.628,,,3.116,0.061,0.984,3449.682,1126.02,0.73,Unknown,0.471,689,,726,0.471,3.273,0.471,2.849,0.471,3.225,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,4,90725,IL-8,8,2,135.548,IR,2.653,3.597,66.162,68.052,63.828,66.607,2.65,1.753,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,139.426,130.759,136.459,,,66.642,0.091,1.022,2954.145,2878.453,1.112,Unknown,0.48,689,,726,0.48,68.533,0.48,64.308,0.48,67.087,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,1,90651,CXCL10,9,2,327.172,IR,5.582,18.264,152.547,163.141,142.198,152.302,5.606,8.552,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,349.826,305.101,326.59,,,161.787,0.101,1.127,913.749,1686.549,0.704,Unknown,9.24,689,,726,9.24,172.381,9.24,151.438,9.24,161.542,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,2,90651,IFNg,9,2,199.414,IR,1.18,2.353,37.184,,36.749,37.618,1.169,0.435,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,,197.062,201.767,,,45.831,0.266,1.016,4577.497,2565.177,0.714,Unknown,8.647,689,,726,,,8.647,45.396,8.647,46.265,2,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,3,90651,IL-6,9,2,423.808,IR,6.766,28.673,50.094,,46.938,53.251,6.301,3.156,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,,395.135,452.482,,,57.666,0.061,0.984,3449.682,1126.02,0.73,Unknown,7.572,689,,726,,,7.572,54.51,7.572,60.823,2,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,4,90651,IL-8,9,2,6542.693,OOR>,5.551,363.193,1622.803,1670.393,1629.751,1568.266,2.587,41.982,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,6960.706,6592.167,6075.206,,,1635.662,0.091,1.022,2954.145,2878.453,1.112,Unknown,12.859,689,,726,12.859,1683.252,12.859,1642.61,12.859,1581.125,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,1,83327,CXCL10,10,2,85.521,IR,4.208,3.599,36.839,39.239,35.627,35.649,4.608,1.697,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,90.61,82.953,83,,,37.305,0.101,1.127,913.749,1686.549,0.704,Unknown,0.466,689,,726,0.466,39.705,0.466,36.093,0.466,36.115,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,2,83327,IFNg,10,2,11.21,IR,3.1,0.347,2.282,2.359,2.204,2.283,2.779,0.063,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,11.633,10.782,11.214,,,2.735,0.266,1.016,4577.497,2565.177,0.714,Unknown,0.453,689,,726,0.453,2.812,0.453,2.657,0.453,2.736,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,3,83327,IL-6,10,2,130.033,IR,4.828,6.277,16.299,,17.057,15.541,4.651,0.758,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,,136.31,123.756,,,16.759,0.061,0.984,3449.682,1126.02,0.73,Unknown,0.46,689,,726,,,0.46,17.517,0.46,16.001,2,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,4,83327,IL-8,10,2,500.32,IR,1.731,8.658,236.689,242.138,234.091,233.837,1.629,3.855,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,512.56,494.485,493.915,,,237.187,0.091,1.022,2954.145,2878.453,1.112,Unknown,0.498,689,,726,0.498,242.636,0.498,234.589,0.498,234.335,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,1,90058,CXCL10,11,2,138.168,IR,1.741,2.406,62.003,63.633,61.356,61.019,1.873,1.161,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,141.547,136.827,136.13,,,62.453,0.101,1.127,913.749,1686.549,0.704,Unknown,0.45,689,,726,0.45,64.083,0.45,61.806,0.45,61.47,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,2,90058,IFNg,11,2,13.761,IR,5.449,0.75,2.748,2.559,2.881,2.805,4.992,0.137,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,12.728,14.484,14.07,,,3.185,0.266,1.016,4577.497,2565.177,0.714,Unknown,0.437,689,,726,0.437,2.996,0.437,3.317,0.437,3.242,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,3,90058,IL-6,11,2,11.774,IR,6.172,0.727,1.614,1.591,1.739,1.512,5.83,0.094,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,11.597,12.74,10.987,,,2.055,0.061,0.984,3449.682,1126.02,0.73,Unknown,0.441,689,,726,0.441,2.032,0.441,2.18,0.441,1.953,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,4,90058,IL-8,11,2,55.594,IR,3.32,1.845,27.009,27.924,27.327,25.776,3.352,0.905,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,57.46,56.243,53.081,,,27.491,0.091,1.022,2954.145,2878.453,1.112,Unknown,0.482,689,,726,0.482,28.406,0.482,27.809,0.482,26.258,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,1,91445,CXCL10,12,2,271.956,IR,2.915,7.927,126.474,131.777,124.348,123.295,2.985,3.775,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,283.093,267.491,265.284,,,126.945,0.101,1.127,913.749,1686.549,0.704,Unknown,0.471,689,,726,0.471,132.248,0.471,124.819,0.471,123.766,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,2,91445,IFNg,12,2,10.918,IR,2.53,0.276,2.229,2.196,2.191,2.3,2.262,0.05,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,10.736,10.71,11.309,,,2.706,0.266,1.016,4577.497,2565.177,0.714,Unknown,0.477,689,,726,0.477,2.672,0.477,2.668,0.477,2.777,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
